19km 	19 km 
35sm 	35 cm 
Afhverju 	Af hverju 
Alþjóðasundambandið 	Alþjóðasundsambandið 
Angelses 	Angeles 
Atvinnvega- og nýsköpunarráðuneytis 	Atvinnuvega- og nýsköpunarráðuneytis 
Aðal brautryðendur 	Aðalbrautryðjendur 
Aðal fæða 	Aðalfæða 
Aö 	Að 
BBCum 	BBC um 
Babýlóníyumönnum 	Babýlóníumönnum 
Bandaríkjann 	Bandaríkjanna 
Bandaríkjunnum 	Bandaríkjunum 
Bandaríkjunum út 	Bandaríkinút 
Bigir 	Birgir 
Bjötrgunarsveitamenn 	Björgunarsveitarmenn 
Blómaskreytarnir 	Blómaskreytararnir 
Borgaryfrvöldum 	borgaryfirvöldum 
Breiðablk 	Breiðablik 
Breiðaliks 	Breiðabliks 
Byggðastofnunnar 	Byggðastofnunar 
Búlgaria 	Búlgaría 
Danakonunig 	Danakonungi 
Dæmiði  	Dæmið 
Einungsi 	Einungis 
Enarmarkið 	Endamarkmið 
Englisaxar 	Engilsaxar 
Ennfermur 	Enn fremur 
Ennig 	Einnig 
Evópu 	Evrópu 
Eyrasundslestinni 	Eyrarsundslestinni 
Eysti 	Eystri 
Filipseyjum 	Filippseyjum 
Fjölskyla 	Fjölskylda 
Fleirra 	Fleira 
Fleirri 	Fleiri 
Foreldara 	Foreldrar 
Forgripasafnins 	Forngripasafnsins 
Fornleifarannsókninn 	Fornleifarannsóknin 
Forsetin 	Forsetinn 
Forvaraanahóp 	Forvarnarhóp 
Fraklandi 	Frakklandi 
Fundar 	Fund 
Fármálaeftirlitið 	Fjármálaeftirlitið 
Gangsegir 	Gang segir 
Garðarson 	Garðarsson 
Gaðabæ 	Garðabæ 
Gissurason 	Gissurarson 
Guðjbörg 	Guðbjörg 
Han 	Hann 
Handayfirlangningar 	handayfirlagningar 
Heilddarvirði 	Heildarvirði 
Hermannsyni 	Hermannssyni 
Hersöfðinginn 	Hershöfðinginn 
Hilmarssyn 	Hilmarssyni 
Hljómsvetin 	Hljómsveitin 
Honnum 	Honum 
Hæstakauptað 	Hæstakaupstað 
Hæun 	Hún 
Hérmá 	Hér má 
Innann 	Innan 
Innréttingana 	Innréttinganna 
Irak 	Írak 
Islam 	íslam 
Istanbul 	Istanbúl 
Italía 	Ítalía 
Jafnfram 	Jafnframt 
Jan-Mayen-hrygginn 	Jan Mayen-hrygginn 
Jókertöurnar 	Jókertölurnar 
Kalvinista 	kalvínista 
Kapítolið 	Kapítalið 
Karneval 	Karnival 
Kaupingi 	Kaupþingi 
Keppninn 	Keppnin 
Klettadopan 	Klettadoppan 
Krafwerk 	Kraftwerk 
Krikjan 	Kirkjan 
Kóranin 	Kóraninn 
Kóreanska 	kóreska 
Kúvæt 	Kúveit 
Landhelgisgæslunnu 	Landhelgisgæslunni 
Landspítlans 	Landspítalans 
Legstu 	Leggstu 
Lundúnarfélagið 	Lundúnafélagið 
Lýðveldiisflokksins 	Lýðveldisflokksins 
MHingar spreyuðu 	MH-ingar spreyjuðu  
Magnússson 	Magnússon 
Menntaskólan 	Menntaskólann 
Mininn 	Mikinn 
Mosvkuréttarhöldin 	Moskvuréttarhöldin 
Nafn stefnunar 	Heiti stefnunnar 
Napoleon 	Napóleon 
Napoleons 	Napóleons 
Napoléons 	Napóleons 
New Mexikó 	Nýju-Mexíkó 
Noreges 	Noregs 
Nítíu 	Níutíu 
Nútildags 	Nú til dags 
Nýji 	Nýi 
O'Brien-prófessir 	O'Brien-prófessor 
Orkuveitian 	Orkuveitan 
Papýusbúgarðurinn 	Papýrusbúgarðurinn 
Portúgalir 	Portúgalar 
Portúgalirnir 	Portúgalarnir 
PunkeðaRadiohead 	Punk eða Radiohead 
Pútin 	Putin 
Republikaninn 	Repúblikaninn 
Reykajvík 	Reykjavík 
Reykjavikur 	Reykjavíkur
Reykjavíkurflugallar 	Reykjavíkurflugvallar 
Reyndols 	Reynolds 
Ríkisendurskoðunnar 	Ríkisendurskoðunar 
Ríkisstjórnarfundurvar 	Ríkisstjórnarfundur var 
Ríksissjóði 	Ríkissjóði 
Sakvæmt 	Samkvæmt 
Samkeppnisstofnunnar 	Samkeppnisstofnunar 
Samkvætm 	Samkvæmt 
Seðlabankinnvissi 	Seðlabankinn vissi 
Sigfúsa 	Sigfúsi 
Silverstone-kappaksturinum 	Silverstone-kappakstrinum 
Sjóner 	Sjón er 
Skjálfandaafljóts 	Skjálfandafljóts 
Skálhoti 	Skálholti 
Skötuselurin 	Skötuselurinn 
Slökt 	Slökkt 
Soldánin 	Soldáninn 
Soldánin 	soldáninn 
Spenging 	Sprenging 
Stefánssonskoraði 	Stefánsson skoraði
Stjörnurar 	Stjörnurnar 
Strassbúrg 	Strassborg 
Stærðræðilegri 	Stærðfræðilegri 
Stóalana 	Stólana 
Stóru-Llaxá 	Stóru-Laxá 
Störnunni 	Stjörnunni 
Surstey 	Surtsey 
Sádía-Arabíu 	Sádí-Arabíu 
Sómalir 	Sómalar 
Sóvíetríkjunum 	Sovétríkjunum 
Tailandi 	Taílandi 
Taltað 	Talað 
Tengingskast 	Teningskast 
Tilgangurin 	Tilgangurinn 
Tjadvatn 	Tsjad-vatn 
Tobago 	Tóbagó 
Trinidad 	Trínidad 
Trúarjáninguna 	Trúarjátninguna 
Tákning 	Táknin 
Tórah 	Tórunnar 
TöframaðurinnEinar Mikaelog töfrakonanViktoríasýndu 	Töframaðurinn Einar Mikael og töfrakonan Viktoría sýndu  
Unverjum 	Ungverjum 
Uppskriftinar 	Uppskriftirnar 
Uumboðsmaður 	Umboðsmaður
Vegerðarinnar 	Vegagerðarinnar 
Veiiðin 	Veiðin 
Veiðiáðgjöf 	Veiðiráðgjöf 
Verkmannaflokkinum 	Verkamannaflokknum 
Verkmannaflokkurinn 	Verkamannaflokknum 
Verkmannaflokkurinn 	Verkamannaflokkurinn
Verkmannaflokssins 	Verkamannaflokssins 
Verrskólans 	Verzlunarskólans 
Verzlunarkóla 	Verzlunarskóla 
Verzlóstollti 	Verzlóstolti 
Vesturfjöðum 	Vestfjörðum 
Viðeyjarkluastur 	Viðeyjarklaustur 
Víkarinnar 	Víkur 
Vírussýking 	Veirusýking
Wahhabi trúarinna 	wahhabi-trúarinnar 
a 	að 
afbrygðileg 	afbrigðileg 
afhverju 	af hverju 
afrennslulaus 	afrennslislaus 
afsökunnar 	afsökunar 
aftöðu 	afstöðu 
afurður 	afurðir 
aldist 	ólst 
aldrinu 	aldrinum 
all 	alla 
all 	allt 
allaflestir 	allflestir 
allls 	alls 
alls 	alls 
allstaðar 	alls staðar 
allveg 	alveg 
allvega 	allavega 
allþekkt 	alþekkt 
almannréttur 	almannaréttur 
alrei 	aldrei 
alsherjar verkfalls 	allsherjarverkfalls 
alsráðandi 	allsráðandi 
altof 	alltof 
altöru 	ölturu 
alvit 	alvitur 
alþjólegu 	alþjóðlegu 
andlytslyftingu 	andlitslyftingu 
andmældi 	andmælti 
andstæðningum 	andstæðingnum 
andyrinu 	anddyrinu 
angistarköst 	kvíðakast 
annann 	annan 
annara 	annarra 
annða 	annað 
anorexísu 	lystarstols 
appelsínubörkin 	appelsínubörkinn 
arum 	árum 
atburðarásinnar 	atburðarásarinnar 
atvinnháttum 	atvinnuháttum 
atvinnu ökuskírteni 	atvinnuökuskírteini 
aukaspyurnu 	aukaspyrnu 
auðmagnins 	auðmagnsins 
auðmana 	auðmanna 
auðveldarar 	auðveldara
auðvellt 	auðvelt 
auðvita 	auðvitað 
aða 	að 
aðalega 	aðallega 
aðaltóftnina 	aðaltóftina 
aðein 	aðeins 
aðilla 	aðila 
aðstandani 	aðstandandi 
aður 	áður 
aðveldlega 	auðveldlega 
bandaríkjaforseta 	Bandaríkjaforseta
bandrísk 	bandarísk 
bankastarfssemi 	bankastarfsemi 
bannka 	banka
barrokkpopp 	barokkpopp 
baríntónsöngvari 	barítónsöngvari 
bassalaeikarinn 	bassaleikarinn 
bauðs 	bauðst
bennt 	bent 
bilunnar 	bilunar 
bitpopphljómsveitana 	bitpopphljómsveitanna 
blátti 	blárri 
blústónlistarhátið 	blústónlistarhátíð 
blústónlistarsefna 	blústónlistarstefna 
borgarstjórnans 	borgarstjórans 
borgarstjórni 	borgarstjóri 
borginnni 	borginni 
botnin 	botninn 
brautriðjandi 	brautryðjandi 
brautriðjendum 	brautryðjenda 
brautskránir 	brautskráðir 
breiðfiskri 	breiðfirskri 
brellibrögð 	bellibrögð
breytnigar 	breytingar 
breytst 	breytast 
brezki 	breski 
briddir 	bryddir 
brjótsti 	brjósti 
brotust 	brutust 
bráust 	braust 
bráðabrigðabrú 	bráðabirgðabrú 
bráðabyrgðaskáli 	bráðabirgðaskáli 
bréfaútgefundum 	bréfaútgefendum 
brötum 	bröttum 
brúðuvag 	brúðuvagn 
buggð 	byggð 
bundar 	bundnar
bung 	bunga 
bygganefnd 	byggðanefnd 
byggjað 	byggt 
bygðin 	byggðin 
byrjendu 	byrjendur 
byðja 	biðja 
bæjarfulltúra 	bæjarfulltrúa 
bæjarstjóran 	bæjarstjórans 
bæjinn 	bæinn 
bæklinginum 	bæklingnum 
bærjarins 	bæjarins 
bókarspensl 	bókarspennsl 
bólustningar 	bólusetningar 
búfenað 	búfénað 
búffjárrækt 	búfjárrækt 
dauðasind 	dauðasynd 
dauðrefsingum 	dauðarefsingum 
deildarinn 	deildarinnar 
deildna 	deilda 
dekkjana 	dekkjanna 
demokrataflokksins 	demókrataflokksins 
ditta 	dytta 
dreyfa 	dreifa 
dreyfingu 	dreifingu 
drykkfelddan 	drykkfelldan 
drógst 	dróst 
dungað 	dugnað 
dvíandi 	dvínandi 
dvö 	dvöl 
dyrlingi 	dýrlingi 
dægrstyttingar 	dægrastyttingar 
díselllítranum 	dísillítranum 
díselolíu 	dísilolíu 
dómHéraðsdóms 	dóm Héraðsdóms 
döknuðu 	dökknuðu 
dýrinn 	dýrin 
efahyggjumennirnireru 	efahyggjumennirnir eru 
efahygju 	efahyggju 
efir 	eftir 
eftinöfnum 	eftirnöfnum
eftirfarndi 	eftirfarandi 
eftr 	eftir 
eftuir 	eftir 
eigenda 	eiganda 
eignkonu 	eiginkonu 
eilfíð 	eilífð 
einfallt 	einfalt 
eingin 	eigin 
eingungis 	einungis 
eingungu 	eingöngu 
einhverji 	einhverri 
einhverntíman 	einhvern tímann 
einhverrs 	einhvers 
einhversskonar 	einhvers konar 
einig 	einnig 
einkenntist 	einkenndist 
einkonar 	einskonar 
einngi 	einnig 
einning 	einnig 
einokunnarverslunar 	einokunarverslunar 
einstaklingin 	einstaklinginn 
einstdæmi 	einsdæmi 
einsæðrar 	einstæðrar 
einunings 	einungis 
einvers 	einhvers 
eirplat 	eirplata 
eistaklingurinn 	einstaklingurinn 
eitthundrað 	eitt hundrað 
eitthver 	einhver 
eitthverja 	einhverja 
eitthverjum 	einhverjum 
eitthvern 	einhvern 
eitthvers allt 	einhvers alls 
eki 	ekki 
ekk 	ekki 
eldsukpptök 	eldsupptök 
embættirsgjörð 	embættisgjörð 
emileraðir 	emeleraður 
endan 	endann 
endasstöð 	endastöð 
endureisa 	endurreisa 
endurhljóðblöndunarmeisturun 	endurhljóðblöndunarmeisturum 
endurstaka 	endurtaka 
endurverkja 	endurvekja 
engann 	engan 
enkenndist 	einkenndist 
ent 	en 
erfarið 	er farið 
erfiðann 	erfiða 
erfðablöndum 	erfðablöndun 
erur 	eru 
eryu 	eru 
eyjuma 	eyjuna 
eylítið 	eilítið 
eyðslufyllerýi 	eyðslufylleríi 
eð 	sem 
eðlisþynd 	eðlisþyngd 
fallar 	fjallar 
fangakastallans 	fangakastalans 
fanst 	fannst 
