Query	Correction
a´ðalpersóna	aðalpersóna
a´gústa	Ágústa
a´r	ár
a´ra	ára
a´rangur	alrangur;árangur
a´wð	að
aæða	æða
aær	ær
aætir	áætlir
aætlun	áætlun
aálsma	asma;sálma
aáttmála	sáttmála
ábótavanur	ábótavant
ábótavön	ábótavant
ábyrð	ábyrgð
ábyrgður	ábyrgðar;ábyrgur
ábyrgur	ábyrgur
ad	að
ađ	að
aðæf	aðhæf
aðælbygging	aðalbygging
aðaige	aðsigi
aðal-	aðal
aðal(	aðal
aðaldundur	aðalfundur
aðalega	aðallega
aðaleikari	aðalleikari
aðalgangujr	aðalgangur
aðalina	aðaliðna
aðallegur	aðalleggur
aðallsteinn	aðalsteinn
aðalperona	aðalpersóna
aðalperóna	aðalpersóna
aðalpersæona	aðalpersóna
aðalpersona	aðalpersóna
aðalpersonur	aðalpersónur
aðalpersoona	aðalpersóna
aðalrettur	aðalréttur
aðalrétutr	aðalréttur
aðaluppdréttur	aðaluppdráttur
aðalþ	aðal
aðans	arans
aðap	aðal
aðarari	daðrari;annarri
aðat	aðal
aðatt	aðan;aðall
aðbur	aðburð
aðð	að
aðdáðandi	aðdáandi
aðdandi	aðdáandi
aðdáunsverð	aðdáunarverð
aðdáunsverða	aðdáunarverða
aðdáunverður	aðdáunarverður
aðdráttarabl	aðdráttarafl
aðdróttnun	aðdróttun
aðe	að
aðeinn	aðeins
aðf´ra	aðfara
aðfæuttur	aðfluttur
ađfangadogskvöld	aðfangadagskvöld
aðfangar	áfangar;aðfanga
aðfangi	áfangi
aðfangur	aðgangur
aðfararnir	aðfarirnar
aðfardagskvöld	aðfangadagskvöld
aðfer	aðferð
aðferður	aðferðir
aðferp	aðferð
aðferpir	aðferðir
aðfö-ng	aðföng
aðg	að
aðgái	aðgát
aðgan	aðgang;angan
aðgangalegur	aðgengilegur
aðgangleg	aðgengileg
aðgangsmál	aðgengismál
aðgangsstýrðut	aðgangsstýrður
aðgangsstyrt	aðgangsstig;aðgangsstýrt
aðgangstýrður	aðgangsstýrður
aðgengi­leg­a	aðgengilega
aðgengi­leg­ir	aðgengilegir
aðgengi­leg­ur	aðgengilegur
aðgengi­lög­ur	aðgengilegur
aðgerðahnappur	aðgerðarhnappur
aðgerðrsinni	aðgerðinni;aðgerðasinni
aðgerður	aðgerð;aðgerðar
aðhaldsemi	aðhaldssemi
aðhillast	aðhyllast
aðhllying	aðhlynning
aðhllyning	aðhlynning
aðhlúun	aðhlynning
aðhlyninn	aðhlynning
aðhlyninng	aðhlynning
aðhlynnt	aðhlynning
aðhlynt	óðlynt;aðhlynning
aðid	aðild
aðilðafélag	aðildarfélag
aðildafélög	aðildarfélög
aðilðarfélag	aðildarfélag
aðildarrík	aðildarríki
aðildi	aðili
aðilji	aðili
aðils	aðila
aðker	baðker
aðkjósanlegur	auðkjósanlegur
aðkonu	aðkomu
aðladandi	aðlaðandi
aðlag	aðlaga
aðlagarinnar	aðlagnarinnar
aðleg	aðlæg;auðleg
aðlega	aðlaga;aðlæga;auðlega
aðlegt	auðlegt;aðlægt;auðlegt
aðlektu	afleitu
aðlessan	vaðleysan
aðlhyning	aðhlynning
aðliggandi	aðliggjandi
aðlynning	aðhlynning
aðótt	æðótt;aðdróttun
aðr	að;áður
aðrað	aðra;jaðrað;aldrað
aðraður	jaðraður;aldraður
aðrari	aðrar;annarri
aðrennslisá	aðrennslis
aðrer	aðrir
aðrétt	afrétt
aðrie	aðrir
aðrír	aðrir
aðriri	aðrir
aðrta	aðra
aðrún	Auðrún
aðs	að;auðs
aðsæki	aðsækni
aðsættin	aðsætin
aðsettur	aðsetur
aðsígi	aðsigi
aðsígin	aðsiginu
aðsjáanlegur	auðsjáanlegur
aðskyljanleg	aðskiljanleg
aðskylt	aðskilið
aðsóknaður	aðsóknar;aðsókn
aðst	baðst
aðsta	aðstaða;æðsta
aðstað	aðstaða
aðstæd	aðstæður
aðstæða	aðstæðna
aðstæðenfur	aðstandendur;aðstæður
aðstædum	aðstæðum
aðstæður´	aðstæður
aðstæur	aðstæður
aðstandadi	aðstandandi
aðstandenður	aðstandendur
aðstð	aðstoð
aðstendenda	aðstandenda
aðstóð	aðstoð
aðstöðuð	aðstöðu
aðsvífandi	aðvífandi
aðu	að
ađur	áður
aðurð	afurð
aðv	að
aðveinar	aðreinar;akreinar
aðvelt	auðvelt
aðven	aðventa
aðvent	aðventu
aðynnir	ynnir
æa	á
æfingarakstur	æfingaakstur
æfingur	æfingar;æfing
æfintýri	ævintýri
ægló	Eygló
æji	æi;æli
æk	læk;æl
æn	ein
æna	eina
aetla	ætla;áætla
ættingar	ættingjar
æv	æf
æx	æs;ax
afhentann	afhentan
afleiddlega	afleitlega
afþreyging	afþreying
afþýða	afþíða
ag	af;dag;að
ág	lág;át
ágleif	Áleif
agurka	agúrka
águrka	agúrka
águst	ágúst
àgúst	ágúst
ágústa	Ágústa
áhættur	áhætta
áhugamál	áhugamál
áhugaver	áhugavert
